_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs/0/WhPerMile,userInputs/0/kWhRequested,userInputs/0/milesRequested,userInputs/0/minutesAvailable,userInputs/0/modifiedAt,userInputs/0/paymentRequired,userInputs/0/requestedDeparture,userInputs/0/userID,userInputs/0,userInputs/1/WhPerMile,userInputs/1/kWhRequested,userInputs/1/milesRequested,userInputs/1/minutesAvailable,userInputs/1/modifiedAt,userInputs/1/paymentRequired,userInputs/1/requestedDeparture,userInputs/1/userID,userInputs/2/WhPerMile,userInputs/2/kWhRequested,userInputs/2/milesRequested,userInputs/2/minutesAvailable,userInputs/2/modifiedAt,userInputs/2/paymentRequired,userInputs/2/requestedDeparture,userInputs/2/userID,userInputs/3/WhPerMile,userInputs/3/kWhRequested,userInputs/3/milesRequested,userInputs/3/minutesAvailable,userInputs/3/modifiedAt,userInputs/3/paymentRequired,userInputs/3/requestedDeparture,userInputs/3/userID,userInputs/4/WhPerMile,userInputs/4/kWhRequested,userInputs/4/milesRequested,userInputs/4/minutesAvailable,userInputs/4/modifiedAt,userInputs/4/paymentRequired,userInputs/4/requestedDeparture,userInputs/4/userID,userInputs/5/WhPerMile,userInputs/5/kWhRequested,userInputs/5/milesRequested,userInputs/5/minutesAvailable,userInputs/5/modifiedAt,userInputs/5/paymentRequired,userInputs/5/requestedDeparture,userInputs/5/userID,userInputs/6/WhPerMile,userInputs/6/kWhRequested,userInputs/6/milesRequested,userInputs/6/minutesAvailable,userInputs/6/modifiedAt,userInputs/6/paymentRequired,userInputs/6/requestedDeparture,userInputs/6/userID,userInputs/7/WhPerMile,userInputs/7/kWhRequested,userInputs/7/milesRequested,userInputs/7/minutesAvailable,userInputs/7/modifiedAt,userInputs/7/paymentRequired,userInputs/7/requestedDeparture,userInputs/7/userID,userInputs/8/WhPerMile,userInputs/8/kWhRequested,userInputs/8/milesRequested,userInputs/8/minutesAvailable,userInputs/8/modifiedAt,userInputs/8/paymentRequired,userInputs/8/requestedDeparture,userInputs/8/userID,userInputs/9/WhPerMile,userInputs/9/kWhRequested,userInputs/9/milesRequested,userInputs/9/minutesAvailable,userInputs/9/modifiedAt,userInputs/9/paymentRequired,userInputs/9/requestedDeparture,userInputs/9/userID
5fdd57b9f9af8b16e6675dda,39,"Sun, 22 Nov 2020 06:21:53 GMT","Sun, 22 Nov 2020 06:42:34 GMT",,8.451,2_39_81_4550_2020-11-22 06:21:47.433608,2,11900388,2-39-81-4550,America/Los_Angeles,9506.0,300.0,30.0,100.0,480.0,"Sun, 22 Nov 2020 06:21:53 GMT",True,"Sun, 22 Nov 2020 14:21:53 GMT",9506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57bbf9af8b16e6675ddb,39,"Sun, 22 Nov 2020 15:52:21 GMT","Sun, 22 Nov 2020 16:44:10 GMT","Sun, 22 Nov 2020 16:44:06 GMT",5.898,2_39_129_17_2020-11-22 15:52:21.064812,2,CA-307,2-39-129-17,America/Los_Angeles,1039.0,283.0,28.3,100.0,288.0,"Sun, 22 Nov 2020 15:52:46 GMT",True,"Sun, 22 Nov 2020 20:40:21 GMT",1039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57bbf9af8b16e6675ddc,39,"Sun, 22 Nov 2020 20:48:19 GMT","Mon, 23 Nov 2020 02:57:49 GMT","Sun, 22 Nov 2020 23:45:49 GMT",10.289,2_39_139_28_2020-11-22 20:48:18.515829,2,CA-303,2-39-139-28,America/Los_Angeles,9048.0,450.0,45.0,100.0,480.0,"Sun, 22 Nov 2020 20:48:42 GMT",True,"Mon, 23 Nov 2020 04:48:19 GMT",9048.0,,450.0,13.5,30.0,144.0,"Sun, 22 Nov 2020 20:49:39 GMT",True,"Sun, 22 Nov 2020 23:12:19 GMT",9048.0,450.0,13.5,30.0,324.0,"Sun, 22 Nov 2020 20:50:44 GMT",True,"Mon, 23 Nov 2020 02:12:19 GMT",9048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57bbf9af8b16e6675ddd,39,"Sun, 22 Nov 2020 23:23:14 GMT","Sun, 22 Nov 2020 23:58:10 GMT","Sun, 22 Nov 2020 23:59:09 GMT",0.892,2_39_79_379_2020-11-22 23:23:14.182081,2,CA-327,2-39-79-379,America/Los_Angeles,2291.0,330.0,13.2,40.0,483.0,"Sun, 22 Nov 2020 23:57:53 GMT",True,"Mon, 23 Nov 2020 07:26:14 GMT",2291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57bbf9af8b16e6675dde,39,"Sun, 22 Nov 2020 23:58:14 GMT","Mon, 23 Nov 2020 00:47:10 GMT","Mon, 23 Nov 2020 00:45:27 GMT",2.208,2_39_79_379_2020-11-22 23:58:14.389989,2,CA-327,2-39-79-379,America/Los_Angeles,2291.0,330.0,13.2,40.0,483.0,"Sun, 22 Nov 2020 23:58:30 GMT",True,"Mon, 23 Nov 2020 08:01:14 GMT",2291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57bbf9af8b16e6675ddf,39,"Mon, 23 Nov 2020 00:14:50 GMT","Mon, 23 Nov 2020 00:52:06 GMT",,27.855,2_39_81_4550_2020-11-23 00:14:23.449939,2,11900388,2-39-81-4550,America/Los_Angeles,9513.0,297.0,44.55,150.0,480.0,"Mon, 23 Nov 2020 00:14:49 GMT",True,"Mon, 23 Nov 2020 08:14:50 GMT",9513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57bbf9af8b16e6675de0,39,"Mon, 23 Nov 2020 05:08:19 GMT","Mon, 23 Nov 2020 19:06:54 GMT",,12.463,2_39_81_4550_2020-11-23 05:07:43.108934,2,11900388,2-39-81-4550,America/Los_Angeles,9502.0,310.0,15.5,50.0,180.0,"Mon, 23 Nov 2020 05:08:18 GMT",True,"Mon, 23 Nov 2020 08:08:19 GMT",9502.0,,310.0,15.5,50.0,180.0,"Mon, 23 Nov 2020 05:14:32 GMT",True,"Mon, 23 Nov 2020 08:08:19 GMT",9502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57bbf9af8b16e6675de1,39,"Mon, 23 Nov 2020 05:12:11 GMT","Mon, 23 Nov 2020 09:58:56 GMT","Mon, 23 Nov 2020 09:43:57 GMT",16.441,2_39_129_17_2020-11-23 05:11:52.357700,2,CA-307,2-39-129-17,America/Los_Angeles,9502.0,310.0,15.5,50.0,180.0,"Mon, 23 Nov 2020 05:12:11 GMT",True,"Mon, 23 Nov 2020 08:12:11 GMT",9502.0,,310.0,15.5,50.0,171.0,"Mon, 23 Nov 2020 05:12:29 GMT",True,"Mon, 23 Nov 2020 08:03:11 GMT",9502.0,310.0,15.5,50.0,114.0,"Mon, 23 Nov 2020 05:18:01 GMT",True,"Mon, 23 Nov 2020 07:06:11 GMT",9502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57bef9af8b16e6675de2,39,"Mon, 23 Nov 2020 16:00:19 GMT","Mon, 23 Nov 2020 17:03:32 GMT","Mon, 23 Nov 2020 16:20:07 GMT",0.837,2_39_125_21_2020-11-23 16:00:18.949204,2,CA-311,2-39-125-21,America/Los_Angeles,1746.0,350.0,35.0,100.0,534.0,"Mon, 23 Nov 2020 16:00:33 GMT",True,"Tue, 24 Nov 2020 00:54:19 GMT",1746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57bef9af8b16e6675de3,39,"Mon, 23 Nov 2020 17:18:24 GMT","Mon, 23 Nov 2020 22:40:40 GMT","Mon, 23 Nov 2020 19:20:40 GMT",6.933,2_39_139_28_2020-11-23 17:18:23.545136,2,CA-303,2-39-139-28,America/Los_Angeles,9048.0,450.0,13.5,30.0,300.0,"Mon, 23 Nov 2020 17:18:38 GMT",True,"Mon, 23 Nov 2020 22:18:24 GMT",9048.0,,450.0,13.5,30.0,240.0,"Mon, 23 Nov 2020 17:19:21 GMT",True,"Mon, 23 Nov 2020 21:18:24 GMT",9048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
